Date,Shop,Product_Category,Qty,Amount,Sales Price,No.,Year,Month,Year-Month,DayOfWeek,Quarter
2022-01-02,901 - Gikomba,Bath & Linens,2.0,27413.79,13706.9,1,2022,1,2022-01,Sunday,1
2022-01-02,901 - Gikomba,Footwear,1.0,4741.38,4741.38,1,2022,1,2022-01,Sunday,1
2022-01-02,901 - Gikomba,Home Textiles,2.0,13793.1,6896.55,1,2022,1,2022-01,Sunday,1
2022-01-02,901 - Gikomba,Miscellaneous,1.0,6034.48,6034.48,1,2022,1,2022-01,Sunday,1
2022-01-02,901 - Gikomba,Outerwear,12.0,84482.76000000001,6982.76,2,2022,1,2022-01,Sunday,1
2022-01-02,901 - Gikomba,Shirts & Tops,1.0,14051.72,14051.72,1,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Kids Wear,2.0,14655.17,7327.59,1,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Miscellaneous,5.0,30172.41,6034.48,1,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Mixed Clothing,1.0,6034.48,6034.48,1,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Outerwear,3.0,21982.76,7327.59,1,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Pants & Bottoms,9.0,68318.97,7920.259999999999,4,2022,1,2022-01,Sunday,1
2022-01-02,904 - Kericho,Shirts & Tops,1.0,10775.86,10775.86,1,2022,1,2022-01,Sunday,1
2022-01-02,904.5 Meru WS,Pants & Bottoms,5.0,41724.130000000005,8221.982499999998,4,2022,1,2022-01,Sunday,1
2022-01-02,904.5 Meru WS,Shirts & Tops,4.0,31034.48,6896.55,2,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Bags & Accessories,1.0,12500.0,12500.0,1,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Footwear,1.0,4310.34,4310.34,1,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Kids Wear,4.0,30517.239999999998,7729.886666666666,3,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Miscellaneous,11.0,72844.83,6350.573333333334,3,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Outerwear,3.0,21551.73,7183.91,3,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Shirts & Tops,1.0,5172.41,5172.41,1,2022,1,2022-01,Sunday,1
2022-01-02,905 - Eldoret,Work Wear,1.0,11637.93,11637.93,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Footwear,1.0,4741.38,4741.38,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Home Textiles,1.0,18103.45,18103.45,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Kids Wear,2.0,21551.72,10775.86,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Miscellaneous,10.0,70000.0,6724.135,2,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Mixed Clothing,2.0,10344.83,5172.42,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Outerwear,1.0,6465.52,6465.52,1,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Pants & Bottoms,2.0,15344.830000000002,7672.415000000001,2,2022,1,2022-01,Sunday,1
2022-01-02,907-Kisumu WS,Shirts & Tops,1.0,5172.41,5172.41,1,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Bath & Linens,1.0,13706.9,13706.9,1,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Kids Wear,2.0,15862.07,7931.035,2,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Miscellaneous,5.0,30172.42,6034.486666666667,3,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Mixed Clothing,1.0,5172.41,5172.41,1,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Outerwear,4.0,28879.31,7183.91,3,2022,1,2022-01,Sunday,1
2022-01-02,913 -Kakamega WS,Pants & Bottoms,3.0,21681.04,7227.013333333333,3,2022,1,2022-01,Sunday,1
2022-01-02,99 Warehouse,Bulk Items,8.0,4827.59,603.45,1,2022,1,2022-01,Sunday,1
2022-01-03,901 - Gikomba,Kids Wear,10.0,87500.0,9689.655999999999,5,2022,1,2022-01,Monday,1
2022-01-03,901 - Gikomba,Miscellaneous,1.0,5603.45,5603.45,1,2022,1,2022-01,Monday,1
2022-01-03,901 - Gikomba,Shirts & Tops,3.0,14655.17,4956.895,2,2022,1,2022-01,Monday,1
2022-01-03,904 - Kericho,Bulk Items,1.0,862.07,862.07,1,2022,1,2022-01,Monday,1
