Year,Month,Shop,Product_Category,Qty,Amount,No.
2022.0,1.0,901 - Gikomba,Bags & Accessories,12.0,133017.24,4
2022.0,1.0,901 - Gikomba,Bath & Linens,10.0,133448.27000000002,7
2022.0,1.0,901 - Gikomba,Bulk Items,2.0,15948.279999999999,2
2022.0,1.0,901 - Gikomba,Dresses & Skirts,31.0,232241.37,19
2022.0,1.0,901 - Gikomba,Footwear,2.0,9482.76,2
2022.0,1.0,901 - Gikomba,Home Textiles,23.0,188448.29,19
2022.0,1.0,901 - Gikomba,Kids Wear,102.0,911724.1,47
2022.0,1.0,901 - Gikomba,Leather Goods,8.0,52586.2,4
2022.0,1.0,901 - Gikomba,Miscellaneous,20.0,123965.51999999999,11
2022.0,1.0,901 - Gikomba,Mixed Clothing,23.0,209913.78,6
2022.0,1.0,901 - Gikomba,Outerwear,211.0,1305431.02,39
2022.0,1.0,901 - Gikomba,Pants & Bottoms,142.0,1165948.3,76
2022.0,1.0,901 - Gikomba,Shirts & Tops,395.0,3016896.57,54
2022.0,1.0,901 - Gikomba,Sports Wear,3.0,22500.0,2
2022.0,1.0,901 - Gikomba,Underwear & Basics,1.0,7327.59,1
2022.0,1.0,901 - Gikomba,Work Wear,2.0,23706.9,2
2022.0,1.0,904 - Kericho,Bags & Accessories,13.0,115775.86,9
2022.0,1.0,904 - Kericho,Bath & Linens,5.0,64913.79,4
2022.0,1.0,904 - Kericho,Bulk Items,23.0,29396.57,6
2022.0,1.0,904 - Kericho,Dresses & Skirts,17.0,121982.75,15
2022.0,1.0,904 - Kericho,Footwear,18.0,79741.35,12
2022.0,1.0,904 - Kericho,Home Textiles,22.0,227974.16,17
2022.0,1.0,904 - Kericho,Kids Wear,193.0,1592931.03,69
2022.0,1.0,904 - Kericho,Miscellaneous,65.0,406206.91,38
2022.0,1.0,904 - Kericho,Mixed Clothing,13.0,71120.67,8
2022.0,1.0,904 - Kericho,Outerwear,164.0,1136724.1600000001,67
2022.0,1.0,904 - Kericho,Pants & Bottoms,126.0,978232.75,82
2022.0,1.0,904 - Kericho,Shirts & Tops,131.0,1022155.19,65
2022.0,1.0,904 - Kericho,Sports Wear,4.0,30000.0,4
2022.0,1.0,904 - Kericho,Underwear & Basics,6.0,43965.53,5
2022.0,1.0,904 - Kericho,Work Wear,1.0,11637.93,1
2022.0,1.0,904.5 Meru WS,Bags & Accessories,16.0,148620.69,12
2022.0,1.0,904.5 Meru WS,Bath & Linens,16.0,194999.99,11
2022.0,1.0,904.5 Meru WS,Bulk Items,15.0,21982.77,5
2022.0,1.0,904.5 Meru WS,Dresses & Skirts,22.0,150344.81,17
2022.0,1.0,904.5 Meru WS,Footwear,6.0,25862.050000000003,4
2022.0,1.0,904.5 Meru WS,Home Textiles,27.0,196594.86,21
2022.0,1.0,904.5 Meru WS,Kids Wear,146.0,1241939.7,60
2022.0,1.0,904.5 Meru WS,Miscellaneous,40.0,243448.3,24
2022.0,1.0,904.5 Meru WS,Mixed Clothing,29.0,196034.44,19
2022.0,1.0,904.5 Meru WS,Outerwear,176.0,1223362.1199999999,70
2022.0,1.0,904.5 Meru WS,Pants & Bottoms,233.0,1797629.31,110
2022.0,1.0,904.5 Meru WS,Shirts & Tops,220.0,1738879.25,116
2022.0,1.0,904.5 Meru WS,Sports Wear,5.0,36982.76,4
2022.0,1.0,904.5 Meru WS,Work Wear,5.0,59482.76,2
2022.0,1.0,905 - Eldoret,Bags & Accessories,27.0,238275.86,16
2022.0,1.0,905 - Eldoret,Bath & Linens,6.0,78620.69,5
2022.0,1.0,905 - Eldoret,Bulk Items,41.0,40948.29,3
2022.0,1.0,905 - Eldoret,Dresses & Skirts,30.0,237672.4,23
2022.0,1.0,905 - Eldoret,Footwear,40.0,172413.76,9
2022.0,1.0,905 - Eldoret,Home Textiles,35.0,412801.76,27
2022.0,1.0,905 - Eldoret,Kids Wear,173.0,1429224.14,64
2022.0,1.0,905 - Eldoret,Miscellaneous,101.0,634655.21,41
2022.0,1.0,905 - Eldoret,Mixed Clothing,23.0,142672.38,16
2022.0,1.0,905 - Eldoret,Outerwear,166.0,1168051.74,76
2022.0,1.0,905 - Eldoret,Pants & Bottoms,149.0,1107586.2,76
2022.0,1.0,905 - Eldoret,Shirts & Tops,192.0,1525689.65,90
2022.0,1.0,905 - Eldoret,Sports Wear,6.0,45258.62,5
2022.0,1.0,905 - Eldoret,Underwear & Basics,5.0,36637.94,4
2022.0,1.0,905 - Eldoret,Work Wear,2.0,23275.86,2
2022.0,1.0,907-Kisumu WS,Bags & Accessories,12.0,105689.66,8
2022.0,1.0,907-Kisumu WS,Bath & Linens,13.0,167327.59,12
2022.0,1.0,907-Kisumu WS,Bulk Items,54.0,52155.16,8
2022.0,1.0,907-Kisumu WS,Dresses & Skirts,43.0,338965.52,37
2022.0,1.0,907-Kisumu WS,Footwear,23.0,107327.58,14
2022.0,1.0,907-Kisumu WS,Home Textiles,37.0,436551.75,27
2022.0,1.0,907-Kisumu WS,Kids Wear,225.0,1839396.54,67
2022.0,1.0,907-Kisumu WS,Miscellaneous,117.0,719568.98,40
2022.0,1.0,907-Kisumu WS,Mixed Clothing,31.0,171982.7,24
2022.0,1.0,907-Kisumu WS,Outerwear,147.0,1034913.79,60
2022.0,1.0,907-Kisumu WS,Pants & Bottoms,141.0,1069568.86,89
2022.0,1.0,907-Kisumu WS,Shirts & Tops,135.0,1075172.43,76
2022.0,1.0,907-Kisumu WS,Sports Wear,5.0,37500.0,5
2022.0,1.0,907-Kisumu WS,Underwear & Basics,4.0,29310.36,4
2022.0,1.0,907-Kisumu WS,Work Wear,2.0,23275.86,1
2022.0,1.0,913 -Kakamega WS,Bags & Accessories,20.0,163103.45,10
2022.0,1.0,913 -Kakamega WS,Bath & Linens,9.0,118706.9,7
2022.0,1.0,913 -Kakamega WS,Bulk Items,31.0,32758.62,3
2022.0,1.0,913 -Kakamega WS,Dresses & Skirts,23.0,201120.67,17
2022.0,1.0,913 -Kakamega WS,Footwear,12.0,53448.26,9
2022.0,1.0,913 -Kakamega WS,Home Textiles,14.0,166163.82,13
2022.0,1.0,913 -Kakamega WS,Kids Wear,165.0,1405948.27,62
2022.0,1.0,913 -Kakamega WS,Miscellaneous,66.0,417586.18,38
2022.0,1.0,913 -Kakamega WS,Mixed Clothing,18.0,109051.67,17
2022.0,1.0,913 -Kakamega WS,Outerwear,125.0,875387.92,61
2022.0,1.0,913 -Kakamega WS,Pants & Bottoms,127.0,990646.57,81
2022.0,1.0,913 -Kakamega WS,Shirts & Tops,144.0,1044396.55,69
2022.0,1.0,913 -Kakamega WS,Sports Wear,4.0,30000.0,3
2022.0,1.0,913 -Kakamega WS,Work Wear,2.0,23275.86,1
2022.0,1.0,99 Warehouse,Bags & Accessories,80.0,831311.21,54
2022.0,1.0,99 Warehouse,Bath & Linens,77.0,931117.21,56
2022.0,1.0,99 Warehouse,Bulk Items,187.0,258793.08000000002,23
2022.0,1.0,99 Warehouse,Dresses & Skirts,92.0,637991.34,64
2022.0,1.0,99 Warehouse,Footwear,283.0,1394827.58,11
2022.0,1.0,99 Warehouse,Home Textiles,86.0,683183.62,44
2022.0,1.0,99 Warehouse,Kids Wear,477.0,4139868.27,165
2022.0,1.0,99 Warehouse,Leather Goods,45.0,259939.65000000002,3
2022.0,1.0,99 Warehouse,Miscellaneous,135.0,882887.9400000001,27
2022.0,1.0,99 Warehouse,Mixed Clothing,93.0,769806.04,34
2022.0,1.0,99 Warehouse,Outerwear,441.0,2763862.11,108
2022.0,1.0,99 Warehouse,Pants & Bottoms,649.0,4982265.67,360
2022.0,1.0,99 Warehouse,Shirts & Tops,949.0,7654832.83,336
2022.0,1.0,99 Warehouse,Sports Wear,38.0,275500.0,26
2022.0,1.0,99 Warehouse,Underwear & Basics,5.0,32974.15,4
2022.0,1.0,99 Warehouse,Work Wear,16.0,175107.79,14
2022.0,2.0,901 - Gikomba,Bags & Accessories,5.0,46293.1,4
2022.0,2.0,901 - Gikomba,Bath & Linens,13.0,180603.46,9
2022.0,2.0,901 - Gikomba,Bulk Items,3.0,33620.69,2
2022.0,2.0,901 - Gikomba,Dresses & Skirts,31.0,242672.39,18
2022.0,2.0,901 - Gikomba,Footwear,5.0,21982.760000000002,2
2022.0,2.0,901 - Gikomba,Home Textiles,35.0,341120.7,21
2022.0,2.0,901 - Gikomba,Kids Wear,97.0,901724.12,48
2022.0,2.0,901 - Gikomba,Miscellaneous,12.0,73534.5,8
2022.0,2.0,901 - Gikomba,Mixed Clothing,23.0,201293.09999999998,3
2022.0,2.0,901 - Gikomba,Outerwear,145.0,958017.23,33
2022.0,2.0,901 - Gikomba,Pants & Bottoms,106.0,837586.23,48
2022.0,2.0,901 - Gikomba,Shirts & Tops,286.0,2142758.63,64
2022.0,2.0,901 - Gikomba,Sports Wear,3.0,22155.18,3
2022.0,2.0,901 - Gikomba,Underwear & Basics,1.0,7327.59,1
2022.0,2.0,901 - Gikomba,Work Wear,1.0,12500.0,1
2022.0,2.0,904 - Kericho,Bags & Accessories,5.0,44827.59,5
2022.0,2.0,904 - Kericho,Bath & Linens,9.0,106551.70999999999,7
2022.0,2.0,904 - Kericho,Bulk Items,15.0,34482.76,8
2022.0,2.0,904 - Kericho,Dresses & Skirts,9.0,66293.1,9
2022.0,2.0,904 - Kericho,Footwear,32.0,153362.05000000002,16
2022.0,2.0,904 - Kericho,Home Textiles,15.0,178577.6,14
2022.0,2.0,904 - Kericho,Kids Wear,115.0,947586.18,69
2022.0,2.0,904 - Kericho,Miscellaneous,52.0,317844.83,35
2022.0,2.0,904 - Kericho,Mixed Clothing,9.0,63362.049999999996,7
2022.0,2.0,904 - Kericho,Outerwear,62.0,432327.59,37
2022.0,2.0,904 - Kericho,Pants & Bottoms,80.0,619698.28,60
2022.0,2.0,904 - Kericho,Shirts & Tops,77.0,572844.8200000001,56
2022.0,2.0,904 - Kericho,Sports Wear,1.0,7500.0,1
2022.0,2.0,904 - Kericho,Underwear & Basics,1.0,7327.59,1
2022.0,2.0,904 - Kericho,Work Wear,1.0,11637.93,1
2022.0,2.0,904.5 Meru WS,Bags & Accessories,10.0,94482.74,9
2022.0,2.0,904.5 Meru WS,Bath & Linens,19.0,242155.16,16
2022.0,2.0,904.5 Meru WS,Bulk Items,1.0,862.07,1
2022.0,2.0,904.5 Meru WS,Dresses & Skirts,10.0,66724.13,8
2022.0,2.0,904.5 Meru WS,Footwear,6.0,25862.050000000003,5
2022.0,2.0,904.5 Meru WS,Home Textiles,36.0,304612.09,30
2022.0,2.0,904.5 Meru WS,Kids Wear,94.0,801336.21,64
2022.0,2.0,904.5 Meru WS,Miscellaneous,31.0,186637.91999999998,24
2022.0,2.0,904.5 Meru WS,Mixed Clothing,20.0,118534.44,17
2022.0,2.0,904.5 Meru WS,Outerwear,85.0,581379.35,57
2022.0,2.0,904.5 Meru WS,Pants & Bottoms,91.0,712370.67,73
2022.0,2.0,904.5 Meru WS,Shirts & Tops,111.0,813189.66,77
2022.0,2.0,904.5 Meru WS,Sports Wear,2.0,15258.619999999999,2
2022.0,2.0,904.5 Meru WS,Underwear & Basics,2.0,15086.21,2
2022.0,2.0,904.5 Meru WS,Work Wear,1.0,11637.93,1
2022.0,2.0,905 - Eldoret,Bags & Accessories,5.0,46293.1,4
2022.0,2.0,905 - Eldoret,Bath & Linens,6.0,71034.47,6
2022.0,2.0,905 - Eldoret,Bulk Items,19.0,55603.44,3
2022.0,2.0,905 - Eldoret,Dresses & Skirts,5.0,48793.1,5
2022.0,2.0,905 - Eldoret,Footwear,25.0,108189.6,15
2022.0,2.0,905 - Eldoret,Home Textiles,28.0,348793.11,17
2022.0,2.0,905 - Eldoret,Kids Wear,115.0,973534.52,54
2022.0,2.0,905 - Eldoret,Miscellaneous,91.0,563793.09,42
2022.0,2.0,905 - Eldoret,Mixed Clothing,15.0,84051.7,9
2022.0,2.0,905 - Eldoret,Outerwear,69.0,479137.92,46
2022.0,2.0,905 - Eldoret,Pants & Bottoms,101.0,742112.0800000001,56
2022.0,2.0,905 - Eldoret,Shirts & Tops,90.0,660431.06,50
2022.0,2.0,905 - Eldoret,Sports Wear,1.0,7500.0,1
2022.0,2.0,905 - Eldoret,Underwear & Basics,6.0,44827.6,5
2022.0,2.0,905 - Eldoret,Work Wear,1.0,11637.93,1
2022.0,2.0,907-Kisumu WS,Bags & Accessories,4.0,36551.72,3
2022.0,2.0,907-Kisumu WS,Bath & Linens,9.0,110689.65,8
2022.0,2.0,907-Kisumu WS,Bulk Items,15.0,23965.53,9
2022.0,2.0,907-Kisumu WS,Dresses & Skirts,20.0,160344.86000000002,20
2022.0,2.0,907-Kisumu WS,Footwear,12.0,53103.43,9
2022.0,2.0,907-Kisumu WS,Home Textiles,27.0,281767.25,20
2022.0,2.0,907-Kisumu WS,Kids Wear,131.0,1049568.92,72
2022.0,2.0,907-Kisumu WS,Miscellaneous,89.0,557155.1900000001,47
2022.0,2.0,907-Kisumu WS,Mixed Clothing,27.0,162499.93,24
2022.0,2.0,907-Kisumu WS,Outerwear,91.0,626120.68,49
2022.0,2.0,907-Kisumu WS,Pants & Bottoms,78.0,613922.41,60
2022.0,2.0,907-Kisumu WS,Shirts & Tops,85.0,626422.41,64
2022.0,2.0,907-Kisumu WS,Sports Wear,1.0,7500.0,1
2022.0,2.0,907-Kisumu WS,Underwear & Basics,5.0,36637.95,5
2022.0,2.0,907-Kisumu WS,Work Wear,3.0,35775.86,3
2022.0,2.0,913 -Kakamega WS,Bags & Accessories,5.0,44827.59,4
2022.0,2.0,913 -Kakamega WS,Bath & Linens,3.0,40775.869999999995,3
2022.0,2.0,913 -Kakamega WS,Bulk Items,13.0,38362.06,3
2022.0,2.0,913 -Kakamega WS,Dresses & Skirts,9.0,79051.72,9
2022.0,2.0,913 -Kakamega WS,Footwear,27.0,116293.08,11
2022.0,2.0,913 -Kakamega WS,Home Textiles,21.0,251637.95,16
2022.0,2.0,913 -Kakamega WS,Kids Wear,127.0,1037241.3,73
2022.0,2.0,913 -Kakamega WS,Miscellaneous,60.0,387672.41,45
2022.0,2.0,913 -Kakamega WS,Mixed Clothing,12.0,66379.29000000001,10
2022.0,2.0,913 -Kakamega WS,Outerwear,73.0,516034.52,50
2022.0,2.0,913 -Kakamega WS,Pants & Bottoms,41.0,330689.64,31
2022.0,2.0,913 -Kakamega WS,Shirts & Tops,71.0,592629.3,56
2022.0,2.0,913 -Kakamega WS,Sports Wear,1.0,7500.0,1
2022.0,2.0,913 -Kakamega WS,Work Wear,1.0,11637.93,1
2022.0,2.0,99 Warehouse,Bags & Accessories,29.0,231297.38,23
2022.0,2.0,99 Warehouse,Bath & Linens,36.0,432469.8,33
2022.0,2.0,99 Warehouse,Bulk Items,171.0,192306.06,19
2022.0,2.0,99 Warehouse,Dresses & Skirts,78.0,555086.18,58
2022.0,2.0,99 Warehouse,Footwear,337.0,1788362.0600000003,5
2022.0,2.0,99 Warehouse,Home Textiles,85.0,889844.86,47
2022.0,2.0,99 Warehouse,Kids Wear,456.0,4133375.05,160
2022.0,2.0,99 Warehouse,Miscellaneous,37.0,213362.06,4
2022.0,2.0,99 Warehouse,Mixed Clothing,22.0,209482.75,13
2022.0,2.0,99 Warehouse,Outerwear,147.0,948306.05,54
2022.0,2.0,99 Warehouse,Pants & Bottoms,453.0,3516494.17,266
2022.0,2.0,99 Warehouse,Shirts & Tops,472.0,3903249.8,226
2022.0,2.0,99 Warehouse,Sports Wear,27.0,195323.28,24
2022.0,2.0,99 Warehouse,Work Wear,12.0,138965.52000000002,7
2022.0,3.0,901 - Gikomba,Bags & Accessories,30.0,350086.21,11
2022.0,3.0,901 - Gikomba,Bath & Linens,11.0,139999.99,10
2022.0,3.0,901 - Gikomba,Bulk Items,1.0,10775.86,1
2022.0,3.0,901 - Gikomba,Dresses & Skirts,24.0,173448.25,20
2022.0,3.0,901 - Gikomba,Home Textiles,18.0,168318.98,14
2022.0,3.0,901 - Gikomba,Kids Wear,98.0,908793.1,41
2022.0,3.0,901 - Gikomba,Leather Goods,3.0,20172.420000000002,2
2022.0,3.0,901 - Gikomba,Miscellaneous,9.0,56465.53,8
2022.0,3.0,901 - Gikomba,Mixed Clothing,34.0,299137.92000000004,8
2022.0,3.0,901 - Gikomba,Outerwear,98.0,638620.6699999999,32
2022.0,3.0,901 - Gikomba,Pants & Bottoms,122.0,947931.01,62
2022.0,3.0,901 - Gikomba,Shirts & Tops,311.0,2332068.97,89
2022.0,3.0,901 - Gikomba,Sports Wear,2.0,15000.0,2
2022.0,3.0,901 - Gikomba,Work Wear,1.0,12068.97,1
2022.0,3.0,904 - Kericho,Bags & Accessories,6.0,57327.59,6
2022.0,3.0,904 - Kericho,Bath & Linens,3.0,39310.34,2
2022.0,3.0,904 - Kericho,Bulk Items,1.0,862.07,1
2022.0,3.0,904 - Kericho,Dresses & Skirts,17.0,128017.24,14
2022.0,3.0,904 - Kericho,Footwear,10.0,44827.58,7
2022.0,3.0,904 - Kericho,Home Textiles,16.0,141810.37,16
2022.0,3.0,904 - Kericho,Kids Wear,144.0,1247500.06,85
2022.0,3.0,904 - Kericho,Miscellaneous,46.0,281982.75,29
2022.0,3.0,904 - Kericho,Mixed Clothing,13.0,85344.81,10
2022.0,3.0,904 - Kericho,Outerwear,118.0,824137.92,49
2022.0,3.0,904 - Kericho,Pants & Bottoms,115.0,881810.37,79
2022.0,3.0,904 - Kericho,Shirts & Tops,123.0,933793.09,81
2022.0,3.0,904 - Kericho,Sports Wear,5.0,37500.0,5
2022.0,3.0,904 - Kericho,Underwear & Basics,1.0,7327.59,1
2022.0,3.0,904 - Kericho,Work Wear,1.0,12068.97,1
2022.0,3.0,904.5 Meru WS,Bags & Accessories,11.0,88706.91,10
2022.0,3.0,904.5 Meru WS,Bath & Linens,14.0,168362.05,12
2022.0,3.0,904.5 Meru WS,Dresses & Skirts,14.0,121637.92,12
2022.0,3.0,904.5 Meru WS,Footwear,3.0,13793.1,3
2022.0,3.0,904.5 Meru WS,Home Textiles,58.0,447844.88,48
2022.0,3.0,904.5 Meru WS,Kids Wear,128.0,1135689.68,95
2022.0,3.0,904.5 Meru WS,Miscellaneous,33.0,201896.59,28
2022.0,3.0,904.5 Meru WS,Mixed Clothing,34.0,247844.78999999998,22
2022.0,3.0,904.5 Meru WS,Outerwear,139.0,970603.45,74
2022.0,3.0,904.5 Meru WS,Pants & Bottoms,141.0,1109137.91,102
2022.0,3.0,904.5 Meru WS,Shirts & Tops,165.0,1300129.31,107
2022.0,3.0,904.5 Meru WS,Sports Wear,4.0,30000.0,3
2022.0,3.0,904.5 Meru WS,Work Wear,1.0,12068.97,1
2022.0,3.0,905 - Eldoret,Bags & Accessories,8.0,71206.9,7
2022.0,3.0,905 - Eldoret,Bath & Linens,2.0,27413.8,2
2022.0,3.0,905 - Eldoret,Bulk Items,11.0,6637.93,1
2022.0,3.0,905 - Eldoret,Dresses & Skirts,13.0,108620.68,13
2022.0,3.0,905 - Eldoret,Footwear,4.0,18534.48,4
2022.0,3.0,905 - Eldoret,Home Textiles,27.0,393620.7,21
2022.0,3.0,905 - Eldoret,Kids Wear,151.0,1292413.87,99
2022.0,3.0,905 - Eldoret,Miscellaneous,111.0,641379.31,46
2022.0,3.0,905 - Eldoret,Mixed Clothing,30.0,182758.56,22
2022.0,3.0,905 - Eldoret,Outerwear,137.0,939965.52,60
2022.0,3.0,905 - Eldoret,Pants & Bottoms,139.0,1051724.18,98
2022.0,3.0,905 - Eldoret,Shirts & Tops,162.0,1167370.7,98
2022.0,3.0,905 - Eldoret,Sports Wear,3.0,22500.0,2
2022.0,3.0,905 - Eldoret,Underwear & Basics,1.0,7327.59,1
2022.0,3.0,905 - Eldoret,Work Wear,2.0,22413.79,2
2022.0,3.0,907-Kisumu WS,Bags & Accessories,12.0,105603.45,12
2022.0,3.0,907-Kisumu WS,Bath & Linens,11.0,139137.93,10
2022.0,3.0,907-Kisumu WS,Bulk Items,10.0,7672.41,4
2022.0,3.0,907-Kisumu WS,Dresses & Skirts,34.0,285517.19,30
2022.0,3.0,907-Kisumu WS,Footwear,11.0,49568.95,8
2022.0,3.0,907-Kisumu WS,Home Textiles,39.0,452844.88,29
2022.0,3.0,907-Kisumu WS,Kids Wear,165.0,1445344.8,81
2022.0,3.0,907-Kisumu WS,Miscellaneous,111.0,687069.03,60
2022.0,3.0,907-Kisumu WS,Mixed Clothing,21.0,152068.91999999998,18
2022.0,3.0,907-Kisumu WS,Outerwear,97.0,685086.2,55
2022.0,3.0,907-Kisumu WS,Pants & Bottoms,149.0,1146250.02,106
2022.0,3.0,907-Kisumu WS,Shirts & Tops,131.0,964051.73,98
2022.0,3.0,907-Kisumu WS,Sports Wear,4.0,30689.66,4
2022.0,3.0,907-Kisumu WS,Underwear & Basics,2.0,14655.18,2
2022.0,3.0,907-Kisumu WS,Work Wear,1.0,12068.97,1
2022.0,3.0,913 -Kakamega WS,Bags & Accessories,8.0,63620.7,8
2022.0,3.0,913 -Kakamega WS,Bath & Linens,5.0,64568.97,5
2022.0,3.0,913 -Kakamega WS,Bulk Items,6.0,3620.69,1
2022.0,3.0,913 -Kakamega WS,Dresses & Skirts,17.0,186810.33,15
2022.0,3.0,913 -Kakamega WS,Footwear,5.0,22844.82,4
2022.0,3.0,913 -Kakamega WS,Home Textiles,20.0,164569.0,18
2022.0,3.0,913 -Kakamega WS,Kids Wear,169.0,1468793.11,102
2022.0,3.0,913 -Kakamega WS,Miscellaneous,69.0,440086.23,40
2022.0,3.0,913 -Kakamega WS,Mixed Clothing,19.0,145258.59,17
2022.0,3.0,913 -Kakamega WS,Outerwear,102.0,716034.5,48
2022.0,3.0,913 -Kakamega WS,Pants & Bottoms,85.0,672887.99,64
2022.0,3.0,913 -Kakamega WS,Shirts & Tops,125.0,972844.76,90
2022.0,3.0,913 -Kakamega WS,Sports Wear,4.0,30000.0,4
2022.0,3.0,913 -Kakamega WS,Work Wear,3.0,32758.629999999997,2
2022.0,3.0,99 Warehouse,Bags & Accessories,12.0,116077.59,9
2022.0,3.0,99 Warehouse,Bath & Linens,33.0,397400.8,31
2022.0,3.0,99 Warehouse,Bulk Items,428.0,288965.52,29
2022.0,3.0,99 Warehouse,Dresses & Skirts,65.0,468637.96,41
2022.0,3.0,99 Warehouse,Footwear,451.0,3147413.79,5
2022.0,3.0,99 Warehouse,Home Textiles,78.0,632416.35,37
2022.0,3.0,99 Warehouse,Kids Wear,276.0,2524107.79,124
2022.0,3.0,99 Warehouse,Leather Goods,36.0,205137.93,2
2022.0,3.0,99 Warehouse,Miscellaneous,24.0,136400.85,12
2022.0,3.0,99 Warehouse,Mixed Clothing,80.0,671077.59,26
2022.0,3.0,99 Warehouse,Outerwear,157.0,985241.4,37
