Product_Category,Amount,Qty,Transaction_Count,Sales Price
Bags & Accessories,60566677.95,6650.0,4072,9459.874440078585
Bath & Linens,71902440.38,5418.0,3916,13250.81173135853
Bulk Items,66059594.62,22525.0,4558,7484.000677928915
Dresses & Skirts,59623891.02,7389.0,5126,8138.76643971908
Footwear,103084799.7,18326.0,3729,5307.952960579244
Home Textiles,112145245.2,9790.0,6321,11196.69123872805
Kids Wear,446188673.74,48618.0,21034,9708.811202339071
Leather Goods,8407461.24,1187.0,163,7407.552699386503
Miscellaneous,129801283.79,19945.0,7394,6348.475871770594
Mixed Clothing,50866861.17,7515.0,4401,6559.762313110657
Outerwear,275943245.96,38701.0,16704,7340.855917744253
Pants & Bottoms,356455763.31,44212.0,25313,8399.567861968158
Shirts & Tops,493528381.95,62309.0,26498,8368.067085817798
Sports Wear,16906704.4,1997.0,1513,8439.085664243225
Uncategorized,0.0,0.0,2,
Underwear & Basics,7594832.12,868.0,692,8055.535447976879
Work Wear,22621627.78,1791.0,1214,12772.939200988467
